x_global	y_global	robot_x	robot_y	initial_th	current_th
324	625	375	563	90	92
208	406	399	614	90	86
468	704	366	604	90	87
462	794	439	556	90	94
398	746	408	594	90	86
223	770	443	590	90	91
404	520	414	609	90	85
240	473	368	589	90	95
599	611	412	578	90	88
423	461	423	596	90	88
348	632	405	626	90	93
489	505	383	616	90	90
219	789	392	600	90	88
267	642	439	595	90	86
586	708	413	634	90	92
521	631	440	641	90	90
486	637	433	589	90	95
248	411	407	581	90	94
301	798	442	611	90	85
213	532	421	553	90	86
235	674	427	650	90	93
600	556	403	571	90	86
230	404	351	578	90	94
423	452	429	618	90	90
335	576	415	605	90	87
517	624	401	643	90	85
240	555	392	597	90	85
586	488	399	650	90	89
413	558	424	613	90	90
514	638	409	555	90	93
504	699	426	589	90	89
229	704	449	636	90	88
563	751	417	554	90	92
206	711	357	561	90	89
501	599	393	643	90	89
335	501	419	645	90	87
548	461	426	649	90	94
233	607	376	629	90	86
208	547	439	646	90	85
591	783	377	631	90	89
375	529	413	561	90	85
374	681	438	627	90	93
476	686	414	567	90	92
362	738	450	609	90	95
353	667	401	552	90	94
337	592	449	599	90	95
306	668	431	552	90	89
211	484	390	556	90	89
215	770	384	587	90	85
499	787	450	623	90	86
347	615	442	602	90	90
278	603	362	550	90	92
285	721	363	567	90	85
354	662	445	574	90	89
210	490	353	554	90	88
373	465	450	624	90	92
319	537	393	571	90	95
533	424	440	554	90	93
241	475	400	596	90	95
446	574	435	599	90	89
386	403	355	568	90	88
584	415	412	561	90	93
314	527	404	554	90	90
339	759	443	558	90	89
386	700	363	591	90	88
572	488	389	603	90	86
432	423	353	611	90	86
539	787	352	580	90	86
351	506	427	640	90	88
375	650	381	650	90	86
526	653	381	592	90	95
595	794	367	623	90	88
345	456	433	650	90	85
434	493	382	648	90	86
429	417	443	630	90	93
462	642	355	594	90	90
536	554	392	550	90	85
581	674	393	556	90	85
483	656	381	636	90	88
323	539	383	602	90	94
582	445	357	616	90	86
372	724	391	564	90	86
561	794	403	641	90	92
342	606	367	609	90	91
596	412	397	584	90	88
372	729	352	640	90	91
357	452	433	638	90	86
419	750	423	612	90	95
537	767	413	637	90	85
279	595	359	632	90	89
440	724	384	594	90	93
580	425	374	640	90	93
259	550	431	617	90	87
450	677	419	574	90	93
379	729	412	585	90	89
211	502	375	591	90	90
464	565	419	649	90	88
481	637	375	640	90	86
546	649	427	603	90	89
519	658	399	566	90	90
